run_accession,fastq_ftp,fastq_bytes,fastq_md5,submitted_ftp,submitted_bytes,submitted_md5,sra_ftp,sra_bytes,sra_md5
ERR027119,ftp.sra.ebi.ac.uk/vol1/fastq/ERR027/ERR027119/ERR027119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR027/ERR027119/ERR027119_2.fastq.gz,2589285177;2512649534,1d33136cec7f544ab901fa86722e6c84;61356478d6dc18cfe5eb48dbbd27db10,ftp.sra.ebi.ac.uk/vol1/run/ERR027/ERR027119/5389_1_nonhuman.srf,34170167931,81c7051852bed6d059ccf4e95f1c3bff,ftp.sra.ebi.ac.uk/vol1/err/ERR027/ERR027119/col/QUALITY/data,3981974182,e5e946edea4246d8eea7a23a9c81cc54
ERR034096,ftp.sra.ebi.ac.uk/vol1/fastq/ERR034/ERR034096/ERR034096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR034/ERR034096/ERR034096_2.fastq.gz,2100265545;1987743422,e46775dda9881c19871c60679bb7633a;78db1ab431a57946e2b459ca5f1ae936,ftp.sra.ebi.ac.uk/vol1/run/ERR034/ERR034096/5756_3_nonhuman.bam,8219086794,848d94ba4cfca15f4756b62a9d218486,ftp.sra.ebi.ac.uk/vol1/err/ERR034/ERR034096,3083367644,c334d79234dffa67c74546ca072863ed
ERR034097,ftp.sra.ebi.ac.uk/vol1/fastq/ERR034/ERR034097/ERR034097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR034/ERR034097/ERR034097_2.fastq.gz,1249419349;1179219247,8d16265cfb5804b396e326f946dbf961;a18da1ad4d450a362eec8ba6e8fc1df0,ftp.sra.ebi.ac.uk/vol1/run/ERR034/ERR034097/5764_8_nonhuman.bam,4736718689,125a2972762220ccb3ad6c7f07155510,ftp.sra.ebi.ac.uk/vol1/err/ERR034/ERR034097,1806078213,db85299c6bf234ebd857229917691c5a
ERR054080,ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054080/ERR054080_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054080/ERR054080_2.fastq.gz,247947104;249230156,5f3a3b1ff1323c25487f4a8e5556e1a6;6098c81ef69fd135c371306cbc262ef0,ftp.sra.ebi.ac.uk/vol1/run/ERR054/ERR054080/6692_4_nonhuman#1.bam,491634401,ad2c8a876054c8a10e8a4eba5ebf3af2,ftp.sra.ebi.ac.uk/vol1/err/ERR054/ERR054080,418011366,16bd92707ab1f648a863368f1e403bd1
ERR054081,ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054081/ERR054081_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054081/ERR054081_2.fastq.gz,1089008256;1097811915,02fbecda74561995e0f70112028f3e58;3ad400d84ecfd1de9dfa69108c998b4b,ftp.sra.ebi.ac.uk/vol1/run/ERR054/ERR054081/6692_4_nonhuman#2.bam,2159762387,6f9056e956e7559ea4129d2272e5ca04,ftp.sra.ebi.ac.uk/vol1/err/ERR054/ERR054081,1829831280,c6d294b387a67f2b1801ddc1ec203a1a
ERR054082,ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054082/ERR054082_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054082/ERR054082_2.fastq.gz,437208780;442421154,ad5e51ef508d0709622394181ae315f2;a9555cdd52392aac711b598e46f4efbc,ftp.sra.ebi.ac.uk/vol1/run/ERR054/ERR054082/6692_4_nonhuman#3.bam,869372516,49a14adc249ce64cbe91f9816f96ea35,ftp.sra.ebi.ac.uk/vol1/err/ERR054/ERR054082,732311751,33e055ccc6a2b5f81a7edb37e15cc8c7
ERR054083,ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054083/ERR054083_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054083/ERR054083_2.fastq.gz,301566372;304181563,263af8f779b797750b8c645e20d4bddc;58ebe97b3660eebcfbe1a01cae254f89,ftp.sra.ebi.ac.uk/vol1/run/ERR054/ERR054083/6692_4_nonhuman#4.bam,598120435,883ef51896cc0fbdf119f29343f680fb,ftp.sra.ebi.ac.uk/vol1/err/ERR054/ERR054083,505160763,a23ce1143cc56cf200b6bbda3e9f5a71
ERR054084,ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054084/ERR054084_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054084/ERR054084_2.fastq.gz,252708919;255069108,67be9d2605b863fdf77341f92c3db2fb;2daa7b813d1368445d01042abc8d0091,ftp.sra.ebi.ac.uk/vol1/run/ERR054/ERR054084/6692_4_nonhuman#5.bam,504975754,c763f0bceb6d6628fa74cd356f55a3ae,ftp.sra.ebi.ac.uk/vol1/err/ERR054/ERR054084,425389366,c2d25255b00470d0bc61118ac47b1192
ERR054085,ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054085/ERR054085_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054085/ERR054085_2.fastq.gz,832202912;841906657,d1e92c2c381c4e480cdcbcb9575c10ae;723b3db10ae17734fb8673dd3906d256,ftp.sra.ebi.ac.uk/vol1/run/ERR054/ERR054085/6692_4_nonhuman#6.bam,1650931098,b56cdeb4cb8ce57ac159cbd7afc189d5,ftp.sra.ebi.ac.uk/vol1/err/ERR054/ERR054085,1393304386,33273db2f9a4d33eb3746ab823e263bb
ERR054086,ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054086/ERR054086_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR054/ERR054086/ERR054086_2.fastq.gz,124713410;125764048,18bb37f15df8431d0a9a56d699e1a529;dbe9b66687a50983f022c68c1e35721b,ftp.sra.ebi.ac.uk/vol1/run/ERR054/ERR054086/6692_4_nonhuman#7.bam,246815428,1fe730ae73a46a24ea5e1dcd235b3854,ftp.sra.ebi.ac.uk/vol1/err/ERR054/ERR054086,211305985,7a49a713fb71a9ca60ebd3f570463337
